639-1,639-2,639-2/B,en,fr,de
aa,aar,,Afar,afar,Danakil-Sprache
ab,abk,,Abkhazian,abkhaze,Abchasisch
,ace,,Achinese,aceh,Aceh-Sprache
,ach,,Acoli,acoli,Acholi-Sprache
,ada,,Adangme,adangme,Adangme-Sprache
,ady,,Adyghe; Adygei,adyghé,Adygisch
,afa,,Afro-Asiatic languages,"afro-asiatiques, langues",Hamitosemitische Sprachen (Andere)
,afh,,Afrihili,afrihili,Afrihili
af,afr,,Afrikaans,afrikaans,Afrikaans
,ain,,Ainu,aïnou,Ainu-Sprache
ak,aka,,Akan,akan,Akan-Sprache
,akk,,Akkadian,akkadien,Akkadisch
sq,sqi,alb,Albanian,albanais,Albanisch
,ale,,Aleut,aléoute,Aleutisch
,alg,,Algonquian languages,"algonquines, langues",Algonkin-Sprachen (Andere)
,alt,,Southern Altai,altai du Sud,Altaisch
am,amh,,Amharic,amharique,Amharisch
,ang,,"English, Old (ca.450-1100)",anglo-saxon (ca.450-1100),Altenglisch
,anp,,Angika,angika,Anga-Sprache
,apa,,Apache languages,"apaches, langues",Apachen-Sprachen
ar,ara,,Arabic,arabe,Arabisch
,arc,,Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE),araméen d'empire (700-300 BCE),Aramäisch
an,arg,,Aragonese,aragonais,Aragonesisch
hy,hye,arm,Armenian,arménien,Armenisch
,arn,,Mapudungun; Mapuche,mapudungun; mapuche; mapuce,Arauka-Sprachen
,arp,,Arapaho,arapaho,Arapaho-Sprache
,art,,Artificial languages,"artificielles, langues",Kunstsprachen (Andere)
,arw,,Arawak,arawak,Arawak-Sprachen
as,asm,,Assamese,assamais,Assamesisch
,ast,,Asturian; Bable; Leonese; Asturleonese,asturien; bable; léonais; asturoléonais,Asturisch
,ath,,Athapascan languages,"athapascanes, langues",Athapaskische Sprachen (Andere)
,aus,,Australian languages,"australiennes, langues",Australische Sprachen
av,ava,,Avaric,avar,Awarisch
ae,ave,,Avestan,avestique,Avestisch
,awa,,Awadhi,awadhi,Awadhi
ay,aym,,Aymara,aymara,Aymará-Sprache
az,aze,,Azerbaijani,azéri,Aserbeidschanisch
,bad,,Banda languages,"banda, langues",Banda-Sprachen (Ubangi-Sprachen)
,bai,,Bamileke languages,"bamiléké, langues",Bamileke-Sprachen
ba,bak,,Bashkir,bachkir,Baschkirisch
,bal,,Baluchi,baloutchi,Belutschisch
bm,bam,,Bambara,bambara,Bambara-Sprache
,ban,,Balinese,balinais,Balinesisch
eu,eus,baq,Basque,basque,Baskisch
,bas,,Basa,basa,Basaa-Sprache
,bat,,Baltic languages,"baltes, langues",Baltische Sprachen (Andere)
,bej,,Beja; Bedawiyet,bedja,Bedauye
be,bel,,Belarusian,biélorusse,Weißrussisch
,bem,,Bemba,bemba,Bemba-Sprache
bn,ben,,Bengali,bengali,Bengali
,ber,,Berber languages,"berbères, langues",Berbersprachen (Andere)
,bho,,Bhojpuri,bhojpuri,Bhojpuri
bh,bih,,Bihari languages,langues biharis,Bihari (Andere)
,bik,,Bikol,bikol,Bikol-Sprache
,bin,,Bini; Edo,bini; edo,Edo-Sprache
bi,bis,,Bislama,bichlamar,Beach-la-mar
,bla,,Siksika,blackfoot,Blackfoot-Sprache
,bnt,,Bantu languages,"bantou, langues",Bantusprachen (Andere)
bo,bod,tib,Tibetan,tibétain,Tibetisch
bs,bos,,Bosnian,bosniaque,Bosnisch
,bra,,Braj,braj,Braj-Bhakha
br,bre,,Breton,breton,Bretonisch
,btk,,Batak languages,"batak, langues",Batak-Sprache
,bua,,Buriat,bouriate,Burjatisch
,bug,,Buginese,bugi,Bugi-Sprache
bg,bul,,Bulgarian,bulgare,Bulgarisch
my,mya,bur,Burmese,birman,Birmanisch
,byn,,Blin; Bilin,blin; bilen,Bilin-Sprache
,cad,,Caddo,caddo,Caddo-Sprachen
,cai,,Central American Indian languages,"amérindiennes de l'Amérique centrale,  langues","Indianersprachen, Zentralamerika (Andere)"
,car,,Galibi Carib,karib; galibi; carib,Karibische Sprachen
ca,cat,,Catalan; Valencian,catalan; valencien,Katalanisch
,cau,,Caucasian languages,"caucasiennes, langues",Kaukasische Sprachen (Andere)
,ceb,,Cebuano,cebuano,Cebuano
,cel,,Celtic languages,"celtiques, langues; celtes, langues",Keltische Sprachen (Andere)
cs,ces,cze,Czech,tchèque,Tschechisch
ch,cha,,Chamorro,chamorro,Chamorro-Sprache
,chb,,Chibcha,chibcha,Chibcha-Sprachen
ce,che,,Chechen,tchétchène,Tschetschenisch
,chg,,Chagatai,djaghataï,Tschagataisch
zh,zho,chi,Chinese,chinois,Chinesisch
,chk,,Chuukese,chuuk,Trukesisch
,chm,,Mari,mari,Tscheremissisch
,chn,,Chinook jargon,"chinook, jargon",Chinook-Jargon
,cho,,Choctaw,choctaw,Choctaw-Sprache
,chp,,Chipewyan; Dene Suline,chipewyan,Chipewyan-Sprache
,chr,,Cherokee,cherokee,Cherokee-Sprache
cu,chu,,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,slavon d'église; vieux slave; slavon liturgique; vieux bulgare,Kirchenslawisch
cv,chv,,Chuvash,tchouvache,Tschuwaschisch
,chy,,Cheyenne,cheyenne,Cheyenne-Sprache
,cmc,,Chamic languages,"chames, langues",Cham-Sprachen
,cop,,Coptic,copte,Koptisch
kw,cor,,Cornish,cornique,Kornisch
co,cos,,Corsican,corse,Korsisch
,cpe,,"Creoles and pidgins, English based",créoles et pidgins basés sur l'anglais,Kreolisch-Englisch (Andere)
,cpf,,"Creoles and pidgins, French-based",créoles et pidgins basés sur le français,Kreolisch-Französisch (Andere)
,cpp,,"Creoles and pidgins, Portuguese-based",créoles et pidgins basés sur le portugais,Kreolisch-Portugiesisch (Andere)
cr,cre,,Cree,cree,Cree-Sprache
,crh,,Crimean Tatar; Crimean Turkish,tatar de Crimé,Krimtatarisch
,crp,,Creoles and pidgins,créoles et pidgins,Kreolische Sprachen; Pidginsprachen (Andere)
,csb,,Kashubian,kachoube,Kaschubisch
,cus,,Cushitic languages,"couchitiques,  langues",Kuschitische Sprachen (Andere)
cy,cym,wel,Welsh,gallois,Kymrisch
,dak,,Dakota,dakota,Dakota-Sprache
da,dan,,Danish,danois,Dänisch
,dar,,Dargwa,dargwa,Darginisch
,day,,Land Dayak languages,"dayak, langues",Dajakisch
,del,,Delaware,delaware,Delaware-Sprache
,den,,Slave (Athapascan),esclave (athapascan),Slave-Sprache
de,deu,ger,German,allemand,Deutsch
,dgr,,Dogrib,dogrib,Dogrib-Sprache
,din,,Dinka,dinka,Dinka-Sprache
dv,div,,Divehi; Dhivehi; Maldivian,maldivien,Maledivisch
,doi,,Dogri,dogri,Dogri
,dra,,Dravidian languages,"dravidiennes,  langues",Drawidische Sprachen (Andere)
,dsb,,Lower Sorbian,bas-sorabe,Niedersorbisch
,dua,,Duala,douala,Duala-Sprachen
,dum,,"Dutch, Middle (ca.1050-1350)",néerlandais moyen (ca. 1050-1350),Mittelniederländisch
nl,nld,dut,Dutch; Flemish,néerlandais; flamand,Niederländisch
,dyu,,Dyula,dioula,Dyula-Sprache
dz,dzo,,Dzongkha,dzongkha,Dzongkha
,efi,,Efik,efik,Efik
,egy,,Egyptian (Ancient),égyptien,Ägyptisch
,eka,,Ekajuk,ekajuk,Ekajuk
el,ell,gre,"Greek, Modern (1453-)",grec moderne (après 1453),Neugriechisch
,elx,,Elamite,élamite,Elamisch
en,eng,,English,anglais,Englisch
,enm,,"English, Middle (1100-1500)",anglais moyen (1100-1500),Mittelenglisch
eo,epo,,Esperanto,espéranto,Esperanto
et,est,,Estonian,estonien,Estnisch
ee,ewe,,Ewe,éwé,Ewe-Sprache
,ewo,,Ewondo,éwondo,Ewondo
,fan,,Fang,fang,Pangwe-Sprache
fo,fao,,Faroese,féroïen,Färöisch
fa,fas,per,Persian,persan,Persisch
,fat,,Fanti,fanti,Fante-Sprache
fj,fij,,Fijian,fidjien,Fidschi-Sprache
,fil,,Filipino; Pilipino,filipino; pilipino,Pilipino
fi,fin,,Finnish,finnois,Finnisch
,fiu,,Finno-Ugrian languages,"finno-ougriennes,  langues",Finnougrische Sprachen (Andere)
,fon,,Fon,fon,Fon-Sprache
fr,fra,fre,French,français,Französisch
,frm,,"French, Middle (ca.1400-1600)",français moyen (1400-1600),Mittelfranzösisch
,fro,,"French, Old (842-ca.1400)",français ancien (842-ca.1400),Altfranzösisch
,frr,,Northern Frisian,frison septentrional,Nordfriesisch
,frs,,Eastern Frisian,frison oriental,Ostfriesisch
fy,fry,,Western Frisian,frison occidental,Friesisch
ff,ful,,Fulah,peul,Ful
,fur,,Friulian,frioulan,Friulisch
,gaa,,Ga,ga,Ga-Sprache
,gay,,Gayo,gayo,Gayo-Sprache
,gba,,Gbaya,gbaya,Gbaya-Sprache
,gem,,Germanic languages,"germaniques, langues",Germanische Sprachen (Andere)
ka,kat,geo,Georgian,géorgien,Georgisch
,gez,,Geez,guèze,Altäthiopisch
,gil,,Gilbertese,kiribati,Gilbertesisch
gd,gla,,Gaelic; Scottish Gaelic,gaélique; gaélique écossais,Gälisch-Schottisch
ga,gle,,Irish,irlandais,Irisch
gl,glg,,Galician,galicien,Galicisch
gv,glv,,Manx,manx; mannois,Manx
,gmh,,"German, Middle High (ca.1050-1500)","allemand, moyen haut (ca. 1050-1500)",Mittelhochdeutsch
,goh,,"German, Old High (ca.750-1050)","allemand, vieux haut (ca. 750-1050)",Althochdeutsch
,gon,,Gondi,gond,Gondi-Sprache
,gor,,Gorontalo,gorontalo,Gorontalesisch
,got,,Gothic,gothique,Gotisch
,grb,,Grebo,grebo,Grebo-Sprache
,grc,,"Greek, Ancient (to 1453)",grec ancien (jusqu'à 1453),Griechisch
gn,grn,,Guarani,guarani,Guaraní-Sprache
,gsw,,Swiss German; Alemannic; Alsatian,suisse alémanique; alémanique; alsacien,Schweizerdeutsch
gu,guj,,Gujarati,goudjrati,Gujarati-Sprache
,gwi,,Gwich'in,gwich'in,Kutchin-Sprache
,hai,,Haida,haida,Haida-Sprache
ht,hat,,Haitian; Haitian Creole,haïtien; créole haïtien,Haïtien (Haiti-Kreolisch)
ha,hau,,Hausa,haoussa,Haussa-Sprache
,haw,,Hawaiian,hawaïen,Hawaiisch
he,heb,,Hebrew,hébreu,Hebräisch
hz,her,,Herero,herero,Herero-Sprache
,hil,,Hiligaynon,hiligaynon,Hiligaynon-Sprache
,him,,Himachali languages; Western Pahari languages,langues himachalis; langues paharis occidentales,Himachali
hi,hin,,Hindi,hindi,Hindi
,hit,,Hittite,hittite,Hethitisch
,hmn,,Hmong; Mong,hmong,Miao-Sprachen
ho,hmo,,Hiri Motu,hiri motu,Hiri-Motu
hr,hrv,,Croatian,croate,Kroatisch
,hsb,,Upper Sorbian,haut-sorabe,Obersorbisch
hu,hun,,Hungarian,hongrois,Ungarisch
,hup,,Hupa,hupa,Hupa-Sprache
,iba,,Iban,iban,Iban-Sprache
ig,ibo,,Igbo,igbo,Ibo-Sprache
is,isl,ice,Icelandic,islandais,Isländisch
io,ido,,Ido,ido,Ido
ii,iii,,Sichuan Yi; Nuosu,yi de Sichuan,Lalo-Sprache
,ijo,,Ijo languages,"ijo, langues",Ijo-Sprache
iu,iku,,Inuktitut,inuktitut,Inuktitut
ie,ile,,Interlingue; Occidental,interlingue,Interlingue
,ilo,,Iloko,ilocano,Ilokano-Sprache
ia,ina,,Interlingua (International Auxiliary Language Association),interlingua (langue auxiliaire internationale),Interlingua
,inc,,Indic languages,"indo-aryennes, langues",Indoarische Sprachen (Andere)
id,ind,,Indonesian,indonésien,Bahasa Indonesia
,ine,,Indo-European languages,"indo-européennes, langues",Indogermanische Sprachen (Andere)
,inh,,Ingush,ingouche,Inguschisch
ik,ipk,,Inupiaq,inupiaq,Inupik
,ira,,Iranian languages,"iraniennes, langues",Iranische Sprachen (Andere)
,iro,,Iroquoian languages,"iroquoises, langues",Irokesische Sprachen
it,ita,,Italian,italien,Italienisch
jv,jav,,Javanese,javanais,Javanisch
,jbo,,Lojban,lojban,Lojban
ja,jpn,,Japanese,japonais,Japanisch
,jpr,,Judeo-Persian,judéo-persan,Jüdisch-Persisch
,jrb,,Judeo-Arabic,judéo-arabe,Jüdisch-Arabisch
,kaa,,Kara-Kalpak,karakalpak,Karakalpakisch
,kab,,Kabyle,kabyle,Kabylisch
,kac,,Kachin; Jingpho,kachin; jingpho,Kachin-Sprache
kl,kal,,Kalaallisut; Greenlandic,groenlandais,Grönländisch
,kam,,Kamba,kamba,Kamba-Sprache
kn,kan,,Kannada,kannada,Kannada
,kar,,Karen languages,"karen, langues",Karenisch
ks,kas,,Kashmiri,kashmiri,Kaschmiri
kr,kau,,Kanuri,kanouri,Kanuri-Sprache
,kaw,,Kawi,kawi,Kawi
kk,kaz,,Kazakh,kazakh,Kasachisch
,kbd,,Kabardian,kabardien,Kabardinisch
,kha,,Khasi,khasi,Khasi-Sprache
,khi,,Khoisan languages,"khoïsan, langues",Khoisan-Sprachen (Andere)
km,khm,,Central Khmer,khmer central,Kambodschanisch
,kho,,Khotanese; Sakan,khotanais; sakan,Sakisch
ki,kik,,Kikuyu; Gikuyu,kikuyu,Kikuyu-Sprache
rw,kin,,Kinyarwanda,rwanda,Rwanda-Sprache
ky,kir,,Kirghiz; Kyrgyz,kirghiz,Kirgisisch
,kmb,,Kimbundu,kimbundu,Kimbundu-Sprache
,kok,,Konkani,konkani,Konkani
kv,kom,,Komi,kom,Komi-Sprache
kg,kon,,Kongo,kongo,Kongo-Sprache
ko,kor,,Korean,coréen,Koreanisch
,kos,,Kosraean,kosrae,Kosraeanisch
,kpe,,Kpelle,kpellé,Kpelle-Sprache
,krc,,Karachay-Balkar,karatchai balkar,Karatschaiisch-Balkarisch
,krl,,Karelian,carélien,Karelisch
